date,market_id,category,commodity,commodity_id,unit,pricetype,currency,price,usdprice,market,admin1,admin2,latitude,longitude
12/15/2004,364,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,55,0.52,Mannar,Northern,Mannar,8.98,79.9
12/15/2004,364,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,65,0.62,Mannar,Northern,Mannar,8.98,79.9
12/15/2004,365,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,32,0.3,Mulaitivu,Northern,Mullattivu,9.27,80.81
12/15/2004,365,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,70,0.66,Mulaitivu,Northern,Mullattivu,9.27,80.81
12/15/2004,367,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,56,0.53,Vavuniya,Northern,Vavuniya,8.75,80.5
12/15/2004,367,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,65,0.62,Vavuniya,Northern,Vavuniya,8.75,80.5
12/15/2004,368,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,34.14,0.32,Colombo City,Western,Colombo,6.93,79.85
1/15/2005,368,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,38.39,0.39,Colombo City,Western,Colombo,6.93,79.85
1/15/2005,368,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,35.14,0.36,Colombo City,Western,Colombo,6.93,79.85
2/15/2005,368,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,36.25,0.37,Colombo City,Western,Colombo,6.93,79.85
2/15/2005,368,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,29.27,0.29,Colombo City,Western,Colombo,6.93,79.85
3/15/2005,368,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,33.99,0.34,Colombo City,Western,Colombo,6.93,79.85
3/15/2005,368,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,32.79,0.33,Colombo City,Western,Colombo,6.93,79.85
4/15/2005,368,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,32.25,0.32,Colombo City,Western,Colombo,6.93,79.85
4/15/2005,368,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,32.48,0.33,Colombo City,Western,Colombo,6.93,79.85
5/15/2005,368,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,31.66,0.32,Colombo City,Western,Colombo,6.93,79.85
5/15/2005,368,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,30.68,0.31,Colombo City,Western,Colombo,6.93,79.85
6/15/2005,368,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,31.32,0.31,Colombo City,Western,Colombo,6.93,79.85
6/15/2005,368,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,28.02,0.28,Colombo City,Western,Colombo,6.93,79.85
7/15/2005,368,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,30.47,0.3,Colombo City,Western,Colombo,6.93,79.85
7/15/2005,368,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,27.54,0.27,Colombo City,Western,Colombo,6.93,79.85
8/15/2005,368,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,29.47,0.29,Colombo City,Western,Colombo,6.93,79.85
8/15/2005,368,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,29.48,0.29,Colombo City,Western,Colombo,6.93,79.85
9/15/2005,368,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,30.68,0.3,Colombo City,Western,Colombo,6.93,79.85
9/15/2005,368,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,29.66,0.29,Colombo City,Western,Colombo,6.93,79.85
10/15/2005,368,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,30.83,0.3,Colombo City,Western,Colombo,6.93,79.85
10/15/2005,368,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,30.27,0.3,Colombo City,Western,Colombo,6.93,79.85
11/15/2005,368,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,32.39,0.32,Colombo City,Western,Colombo,6.93,79.85
11/15/2005,368,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,30.44,0.3,Colombo City,Western,Colombo,6.93,79.85
1/15/2006,368,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,35.23,0.35,Colombo City,Western,Colombo,6.93,79.85
1/15/2006,368,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,30.24,0.3,Colombo City,Western,Colombo,6.93,79.85
2/15/2006,360,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,27,0.26,Ampara,Eastern,Ampara,7.28,81.67
2/15/2006,366,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,30,0.29,Trincomalee,Eastern,Trincomalee,8.57,81.23
2/15/2006,362,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,32,0.31,Jaffna,Northern,Jaffna,9.66,80.01
2/15/2006,363,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,29,0.28,Kilinochchi,Northern,Kilinochchi,9.4,80.4
2/15/2006,364,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,28,0.27,Mannar,Northern,Mannar,8.98,79.9
2/15/2006,367,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,28,0.27,Vavuniya,Northern,Vavuniya,8.75,80.5
